Statistic,Per 90,Percentile,Stat,Value
Non-Penalty Goals,0.04,51.0,,
npxG: Non-Penalty xG,0.06,76.0,,
Shots Total,0.90,93.0,,
Assists,0.02,55.0,,
xAG: Exp. Assisted Goals,0.01,33.0,,
npxG + xAG,0.08,59.0,,
Shot-Creating Actions,1.26,86.0,,
,,,,
Passes Attempted,81.39,93.0,,
Pass Completion %,92.2%,91.0,,
Progressive Passes,4.88,82.0,,
Progressive Carries,0.52,43.0,,
Successful Take-Ons,0.10,28.0,,
Touches (Att Pen),1.51,92.0,,
Progressive Passes Rec,0.13,23.0,,
,,,,
Tackles,0.98,9.0,,
Interceptions,1.17,58.0,,
Blocks,0.78,6.0,,
Clearances,3.90,40.0,,
Aerials Won,2.91,84.0,,
,,,Minutes Played,4296.0
Non-Penalty Goals,0.51,94.0,,
npxG: Non-Penalty xG,0.56,99.0,,
Shots Total,3.89,98.0,,
Assists,0.54,99.0,,
xAG: Exp. Assisted Goals,0.41,98.0,,
npxG + xAG,0.96,99.0,,
Shot-Creating Actions,4.63,76.0,,
,,,,
Passes Attempted,34.30,42.0,,
Pass Completion %,71.6%,20.0,,
Progressive Passes,4.35,68.0,,
Progressive Carries,3.75,55.0,,
Successful Take-Ons,1.37,39.0,,
Touches (Att Pen),9.27,99.0,,
Progressive Passes Rec,12.76,96.0,,
,,,,
Tackles,0.51,3.0,,
Interceptions,0.12,1.0,,
Blocks,0.28,1.0,,
Clearances,0.16,4.0,,
Aerials Won,0.14,10.0,,
,,,Minutes Played,3865.0
Non-Penalty Goals,0.03,32.0,,
npxG: Non-Penalty xG,0.04,28.0,,
Shots Total,0.64,24.0,,
Assists,0.06,41.0,,
xAG: Exp. Assisted Goals,0.10,65.0,,
npxG + xAG,0.14,47.0,,
Shot-Creating Actions,2.22,49.0,,
,,,,
Passes Attempted,53.92,59.0,,
Pass Completion %,89.6%,89.0,,
Progressive Passes,5.63,68.0,,
Progressive Carries,2.16,85.0,,
Successful Take-Ons,1.08,86.0,,
Touches (Att Pen),0.96,43.0,,
Progressive Passes Rec,2.04,60.0,,
,,,,
Tackles,2.01,47.0,,
Interceptions,1.95,98.0,,
Blocks,1.25,61.0,,
Clearances,1.31,42.0,,
Aerials Won,0.64,35.0,,
,,,Minutes Played,3086.0
Non-Penalty Goals,0.06,61.0,,
npxG: Non-Penalty xG,0.08,77.0,,
Shots Total,0.58,43.0,,
Assists,0.06,35.0,,
xAG: Exp. Assisted Goals,0.23,94.0,,
npxG + xAG,0.31,95.0,,
Shot-Creating Actions,3.90,98.0,,
,,,,
Passes Attempted,80.80,99.0,,
Pass Completion %,83.5%,78.0,,
Progressive Passes,7.32,98.0,,
Progressive Carries,2.76,83.0,,
Successful Take-Ons,0.17,5.0,,
Touches (Att Pen),2.51,88.0,,
Progressive Passes Rec,4.95,69.0,,
,,,,
Tackles,1.46,18.0,,
Interceptions,0.72,26.0,,
Blocks,0.66,7.0,,
Clearances,1.91,23.0,,
Aerials Won,0.28,6.0,,
,,,Minutes Played,3257.0
Non-Penalty Goals,0.09,81.0,,
npxG: Non-Penalty xG,0.08,81.0,,
Shots Total,1.86,98.0,,
Assists,0.22,89.0,,
xAG: Exp. Assisted Goals,0.28,97.0,,
npxG + xAG,0.36,97.0,,
Shot-Creating Actions,3.87,97.0,,
,,,,
Passes Attempted,76.01,98.0,,
Pass Completion %,74.1%,20.0,,
Progressive Passes,8.39,99.0,,
Progressive Carries,1.95,54.0,,
Successful Take-Ons,0.46,31.0,,
Touches (Att Pen),1.64,58.0,,
Progressive Passes Rec,4.02,43.0,,
,,,,
Tackles,2.48,77.0,,
Interceptions,1.21,80.0,,
Blocks,1.24,64.0,,
Clearances,1.58,15.0,,
Aerials Won,0.06,1.0,,
,,,Minutes Played,2907.0
Non-Penalty Goals,0.15,84.0,,
npxG: Non-Penalty xG,0.14,84.0,,
Shots Total,1.53,81.0,,
Assists,0.15,78.0,,
xAG: Exp. Assisted Goals,0.19,90.0,,
npxG + xAG,0.33,90.0,,
Shot-Creating Actions,4.25,94.0,,
,,,,
Passes Attempted,58.93,75.0,,
Pass Completion %,85.6%,59.0,,
Progressive Passes,7.03,86.0,,
Progressive Carries,1.35,58.0,,
Successful Take-Ons,0.48,38.0,,
Touches (Att Pen),2.05,81.0,,
Progressive Passes Rec,2.65,72.0,,
,,,,
Tackles,3.30,94.0,,
Interceptions,0.95,47.0,,
Blocks,2.25,99.0,,
Clearances,1.03,25.0,,
Aerials Won,0.80,48.0,,
,,,Minutes Played,3598.0
Non-Penalty Goals,0.19,31.0,,
npxG: Non-Penalty xG,0.28,69.0,,
Shots Total,2.61,66.0,,
Assists,0.13,27.0,,
xAG: Exp. Assisted Goals,0.22,57.0,,
npxG + xAG,0.50,66.0,,
Shot-Creating Actions,4.54,72.0,,
,,,,
Passes Attempted,55.19,92.0,,
Pass Completion %,83.7%,94.0,,
Progressive Passes,5.42,85.0,,
Progressive Carries,2.93,35.0,,
Successful Take-Ons,0.79,13.0,,
Touches (Att Pen),4.38,52.0,,
Progressive Passes Rec,6.02,23.0,,
,,,,
Tackles,1.01,30.0,,
Interceptions,0.57,74.0,,
Blocks,1.39,92.0,,
Clearances,0.44,36.0,,
Aerials Won,0.69,71.0,,
,,,Minutes Played,2857.0
Non-Penalty Goals,0.07,78.0,,
npxG: Non-Penalty xG,0.06,68.0,,
Shots Total,0.51,53.0,,
Assists,0.07,90.0,,
xAG: Exp. Assisted Goals,0.03,69.0,,
npxG + xAG,0.09,67.0,,
Shot-Creating Actions,1.06,72.0,,
,,,,
Passes Attempted,69.24,81.0,,
Pass Completion %,89.2%,69.0,,
Progressive Passes,4.38,77.0,,
Progressive Carries,0.99,82.0,,
